oficina;vendedor;producto;unidades
Madrid;m_vendedor1;P1;20
Madrid;m_vendedor1;P2;19
Madrid;m_vendedor1;P3;8
Madrid;m_vendedor1;P4;5
Madrid;m_vendedor1;P5;18
Madrid;m_vendedor4;P14;1
Madrid;m_vendedor4;P15;7
Valencia;v_vendedor1;P10;1
Valencia;v_vendedor1;P11;2
Valencia;v_vendedor1;P12;0
Valencia;v_vendedor1;P13;19
Valencia;v_vendedor1;P14;2
Valencia;v_vendedor1;P15;6
Valencia;v_vendedor1;P16;4
Valencia;v_vendedor1;P17;15
Valencia;v_vendedor1;P18;10
Valencia;v_vendedor1;P19;18
Lisboa;l_vendedor1;P9;11
Lisboa;l_vendedor1;P10;10
Lisboa;l_vendedor1;P11;10
Lisboa;l_vendedor1;P12;16
Lisboa;l_vendedor1;P13;16
Lisboa;l_vendedor1;P14;1
Lisboa;l_vendedor1;P15;6
Lisboa;l_vendedor1;P16;16
Lisboa;l_vendedor1;P17;15
Lisboa;l_vendedor1;P18;13
Lisboa;l_vendedor1;P19;7
Lisboa;l_vendedor1;P20;6
Lisboa;l_vendedor2;P1;20
Lisboa;l_vendedor2;P2;19
Lisboa;l_vendedor2;P3;11
Lisboa;l_vendedor2;P4;4
Lisboa;l_vendedor2;P5;16
